0 length 1860;
0 note 60 100;
82 note 65 100;
125 note 60 0;
167 note 69 100;
213 note 72 100;
242 note 65 0;
245 note 69 0;
255 note 76 100;
294 note 72 0;
299 note 60 100;
313 note 76 0;
386 note 60 0;
391 note 76 100;
406 note 72 100;
471 note 69 100;
478 note 76 0;
484 note 60 100;
521 note 72 0;
524 note 69 0;
596 note 60 0;
605 note 67 100;
639 note 67 0;
677 note 60 100;
687 note 60 0;
701 note 62 100;
786 note 62 0;
793 note 60 100;
876 note 65 100;
919 note 60 0;
961 note 69 100;
1007 note 72 100;
1036 note 65 0;
1039 note 69 0;
1049 note 76 100;
1088 note 72 0;
1093 note 60 100;
1107 note 76 0;
1180 note 60 0;
1185 note 76 100;
1200 note 72 100;
1265 note 69 100;
1272 note 76 0;
1278 note 60 100;
1315 note 72 0;
1318 note 69 0;
1390 note 60 0;
1399 note 67 100;
1433 note 67 0;
1471 note 60 100;
1481 note 60 0;
1495 note 62 100;
1580 note 62 0;
1587 note 60 100;
1670 note 65 100;
1713 note 60 0;
1755 note 69 100;
1801 note 72 100;
1830 note 65 0;
1833 note 69 0;
1843 note 76 100;
1860 note 72 0;
1860 note 76 0;
