0 length 4010;
0 note 60 63;
75 note 60 0;
241 note 60 63;
314 note 60 0;
486 note 62 68;
550 note 62 0;
727 note 69 90;
809 note 69 0;
1727 note 69 72;
1793 note 69 0;
1990 note 60 72;
2050 note 60 0;
2225 note 60 72;
2294 note 60 0;
2457 note 62 68;
2516 note 62 0;
2706 note 69 95;
2771 note 69 0;
3193 note 72 95;
3254 note 72 0;
3434 note 72 104;
3507 note 72 0;
