0 length 4409;
0 note 62 56;
342 note 62 0;
586 note 71 61;
893 note 71 0;
1041 note 65 9;
1105 note 65 0;
1290 note 65 63;
1294 note 64 59;
1300 note 64 0;
1530 note 65 0;
1724 note 62 37;
1793 note 62 0;
1977 note 62 72;
2172 note 62 0;
2272 note 60 57;
2372 note 60 0;
2499 note 60 60;
2621 note 60 0;
2772 note 62 60;
2853 note 62 0;
3030 note 60 77;
3111 note 60 0;
3546 note 60 61;
3619 note 60 0;
3855 note 62 63;
4104 note 62 0;
