0 length 1361;
0 note 63 113;
0 note 75 113;
163 note 75 0;
163 note 75 0;
170 note 63 0;
170 note 63 0;
185 note 63 113;
185 note 75 113;
349 note 75 0;
349 note 75 0;
356 note 63 0;
356 note 63 0;
371 note 63 113;
371 note 75 113;
535 note 75 0;
535 note 75 0;
542 note 63 0;
542 note 63 0;
557 note 63 113;
557 note 75 113;
721 note 75 0;
721 note 75 0;
728 note 63 0;
728 note 63 0;
743 note 63 113;
743 note 75 113;
907 note 75 0;
907 note 75 0;
914 note 63 0;
914 note 63 0;
929 note 63 113;
929 note 75 113;
1093 note 75 0;
1093 note 75 0;
1100 note 63 0;
1100 note 63 0;
1115 note 63 113;
1115 note 75 113;
1279 note 75 0;
1279 note 75 0;
1286 note 63 0;
1286 note 63 0;
1301 note 63 113;
1301 note 75 113;
1361 note 63 0;
1361 note 75 0;
