0 length 3795;
0 note 68 45;
0 note 68 45;
138 note 68 0;
138 note 68 0;
948 note 78 21;
948 note 78 21;
1066 note 78 0;
1066 note 78 0;
1741 note 75 51;
1741 note 75 51;
1905 note 75 0;
1905 note 75 0;
2419 note 68 63;
2419 note 68 63;
2601 note 68 0;
2601 note 68 0;
2936 note 80 51;
2936 note 80 51;
3122 note 80 0;
3122 note 80 0;
3409 note 68 52;
3409 note 68 52;
3571 note 68 0;
3571 note 68 0;
