0 length 2686;
0 note 65 47;
0 note 65 47;
224 note 65 0;
224 note 65 0;
285 note 70 49;
285 note 70 49;
491 note 70 0;
491 note 70 0;
569 note 68 51;
569 note 68 51;
967 note 68 0;
967 note 68 0;
1135 note 67 51;
1135 note 67 51;
1282 note 68 54;
1282 note 68 54;
1286 note 67 0;
1286 note 67 0;
1404 note 67 48;
1404 note 67 48;
1417 note 68 0;
1417 note 68 0;
1534 note 67 0;
1534 note 67 0;
1688 note 65 41;
1688 note 65 41;
1833 note 65 0;
1833 note 65 0;
2001 note 63 50;
2001 note 63 50;
2242 note 63 0;
2242 note 63 0;
2292 note 65 33;
2292 note 65 33;
2442 note 65 0;
2442 note 65 0;
